TABULA_ID;YEAR1;YEAR2;A_W1;A_W2;A_W3;A_W;U_W1;U_W2;U_W3;U_W_AVG;A_WIN1;A_WIN2;A_WIN_H;A_WIN_E;A_WIN_S;A_WIN_W;A_WIN_N;A_WIN;A_WIN_H_PERC;A_WIN_ROOF_PERC;A_WIN_E_PERC;A_WIN_S_PERC;A_WIN_W_PERC;A_WIN_N_PERC;A_WIN_WALL_PERC;U_WIN1;U_WIN2;U_WIN_AVG;U_WALL_WIN;A_R1;A_R2;A_R;A_R1_NETTO;A_R2_NETTO;A_R_NETTO;U_R1;U_R2;U_R_AVG;U_R_WIN
DE.N.AB.02.Gen;0;1918;305,40;0,00;0,00;305,40;1,70;1,70;1,70;1,70;136,20;0,00;0,00;65,80;2,30;65,80;2,30;136,20;0,00 %;0,00;21,55 %;0,75 %;21,55 %;0,75 %;44,60 %;3,50;3,50;3,50;2,50;231,80;0,00;231,80;219,05;0,00;219,05;1,30;1,00;1,30;1,30
DE.N.AB.03.Gen;1919;1948;1.244,00;0,00;0,00;1.244,00;1,40;1,40;1,40;1,40;278,52;0,00;0,00;126,90;24,72;126,90;0,00;278,52;0,00 %;0,00;10,20 %;1,99 %;10,20 %;0,00 %;22,39 %;3,50;3,50;3,50;1,87;0,00;384,20;384,20;0,00;363,07;363,07;1,40;0,80;0,80;0,80
DE.N.AB.04.Gen;1949;1957;1.376,00;0,00;0,00;1.376,00;1,20;1,20;1,20;1,20;294,90;0,00;0,00;128,30;38,30;128,30;0,00;294,90;0,00 %;0,00;9,32 %;2,78 %;9,32 %;0,00 %;21,43 %;3,50;3,50;3,50;1,69;0,00;353,50;353,50;0,00;334,06;334,06;0,80;1,60;1,60;1,60
DE.N.AB.05.Gen;1958;1968;3.247,79;0,00;0,00;3.247,79;1,20;1,20;1,20;1,20;687,03;0,00;0,00;323,07;26,59;323,07;14,31;687,03;0,00 %;0,00;9,95 %;0,82 %;9,95 %;0,44 %;21,15 %;3,50;3,50;3,50;1,69;0,00;479,58;479,58;0,00;453,20;453,20;0,80;0,60;0,60;0,60
DE.N.AB.05.HR;1958;1968;6.949,14;0,00;0,00;6.949,14;1,20;1,20;1,20;1,20;1.947,19;0,00;0,00;493,80;610,10;493,80;349,49;1.947,19;0,00 %;0,00;7,11 %;8,78 %;7,11 %;5,03 %;28,02 %;3,50;3,50;3,50;1,84;0,00;501,19;501,19;0,00;473,62;473,62;0,80;0,60;0,60;0,60
DE.N.AB.06.Gen;1969;1978;2.130,00;0,00;0,00;2.130,00;1,10;1,10;1,10;1,10;545,00;0,00;0,00;229,00;34,00;229,00;53,00;545,00;0,00 %;0,00;10,75 %;1,60 %;10,75 %;2,49 %;25,59 %;3,50;3,50;3,50;1,71;0,00;540,00;540,00;0,00;510,30;510,30;0,50;0,60;0,60;0,60
DE.N.AB.06.HR;1969;1978;14.623,40;0,00;0,00;14.623,40;1,10;1,10;1,10;1,10;2.580,52;0,00;0,00;760,22;763,88;760,22;296,20;2.580,52;0,00 %;0,00;5,20 %;5,22 %;5,20 %;2,03 %;17,65 %;3,50;3,50;3,50;1,52;0,00;1.468,97;1.468,97;0,00;1.388,18;1.388,18;0,50;0,60;0,60;0,60
DE.East.AB.06.Gen;1969;1978;1.599,73;0,00;0,00;1.599,73;1,10;1,10;1,10;1,10;461,00;0,00;0,00;0,00;278,00;0,00;183,00;461,00;0,00 %;0,00;0,00 %;17,38 %;0,00 %;11,44 %;28,82 %;2,70;2,70;2,70;1,56;0,00;598,34;598,34;0,00;565,43;565,43;0,80;0,60;0,60;0,60
DE.East.AB.06.HR;1969;1978;2.992,09;0,00;0,00;2.992,09;1,10;1,10;1,10;1,10;756,00;0,00;0,00;378,00;0,00;378,00;0,00;756,00;0,00 %;0,00;12,63 %;0,00 %;12,63 %;0,00 %;25,27 %;2,70;2,70;2,70;1,50;0,00;598,34;598,34;0,00;565,43;565,43;0,50;0,60;0,60;0,60
DE.East.AB.07.Gen;1979;1983;1.673,73;0,00;0,00;1.673,73;0,90;0,90;0,90;0,90;387,00;0,00;0,00;0,00;215,00;0,00;172,00;387,00;0,00 %;0,00;0,00 %;12,85 %;0,00 %;10,28 %;23,12 %;2,70;2,70;2,70;1,32;0,00;598,34;598,34;0,00;565,43;565,43;0,50;0,50;0,50;0,50
DE.East.AB.07.HR;1979;1983;4.221,74;0,00;0,00;4.221,74;0,90;0,90;0,90;0,90;1.471,06;0,00;0,00;397,25;398,64;397,25;277,93;1.471,06;0,00 %;0,00;9,41 %;9,44 %;9,41 %;6,58 %;34,84 %;3,50;3,50;3,50;1,81;0,00;695,12;695,12;0,00;656,89;656,89;0,50;0,50;0,50;0,50
DE.East.AB.08.Gen;1984;1994;1.673,73;0,00;0,00;1.673,73;0,60;0,60;0,60;0,60;387,00;0,00;0,00;0,00;215,00;0,00;172,00;387,00;0,00 %;0,00;0,00 %;12,85 %;0,00 %;10,28 %;23,12 %;3,50;3,50;3,50;1,27;0,00;598,34;598,34;0,00;565,43;565,43;0,40;0,40;0,40;0,40
;;;;;;;;;;1,13;;;;;;;;;0,00 %;0,00;8,01 %;6,20 %;8,01 %;4,11 %;26,33 %;;;3,30;1,69;;;;;;;;;0,73;0,73
